id	question	a	b	c	d	e
16	A impressão tridimensional (3D) é um método de fabricação de objetos sólidos a partir de um __________ digital contendo informações de coordenadas espaciais.	elemento	material	filamento	plástico	arquivo
17	A criação de um protótipo impresso em 3D é alcançada depositando-se __________ sucessivas de material, até que o objeto esteja concluído.	camadas	colas	pinturas	tonalidades	cores
18	Desde 1978, a quantidade de radiação emitida pelo sol em seus períodos de baixa atividade sobe em média 0,05% por década, de acordo com um índice publicado em março pela Nasa, a __________ espacial norte-americana.	radiação	polêmica	proposta	questão	agência
19	Nos últimos 24 anos, a radiação solar teria assim contribuído com um aumento de 0,1% para a __________ da temperatura global.	redução	elevação	quantidade	questão	destruição
20	Muito antes da chegada dos portugueses a terras brasileiras; antes ainda do primeiro índio a nascer em __________ pátrio, o Brasil já era habitado por seres bastante interessantes, porém muito diferentes.	espaço	solo	canto	local	sítio
21	Mas não somos a única espécie a considerar o "nada" um __________.	argumento	conceito	número	pensamento	fenômeno
22	Ao juntar concreto com escória de alumínio, o engenheiro metalurgista consegue um novo produto que vai baratear o custo dos materiais utilizados na __________ civil.	guarda	construção	despesa	manutenção	gerência
23	É um tipo especial de argamassa classificada como concreto celular, que dá um fim útil - de forma inédita - à escória de alumínio, um __________ poluente da industrialização desse metal.	estudo	resíduo	método	procedimento	processo
24	A persistência de condições de estiagem por longos períodos, como a observada sobre a região mais populosa do País desde o verão de 2014, afeta diretamente o abastecimento de água, assim como impacta a __________ agrícola e a geração de energia hidroelétrica, que representa 70% das fontes de geração de energia no Brasil.	população	vida	produção	flora	fauna
25	Mudanças climáticas estão aquecendo o Ártico mais de duas vezes mais rápido do que qualquer outro __________ no planeta.	período	motivo	ano	lugar	efeito
26	Uma das consequências mais sérias é o aumento do __________ oceânico, o que ameaça nações desde Bangladesh aos Estados Unidos (EUA).	aquecimento	calor	derretimento	efeito	nível
27	Agora, os mares estão se elevando a uma média de 3,2 milímetros por __________ globalmente, e prevê-se que eles subam um total entre 0,2 e 2 metros até 2100.	segundo	dia	metro	ano	mês
28	Como surgem os buracos negros ainda é um grande __________ para os cientistas.	lapso	buraco	mistério	vácuo	espaço
29	Os astrofísicos têm teorias de que eles sejam originados nas explosões de supernovas __________, e que potencialmente milhões de buracos negros estariam zunindo em torno da nossa galáxia em alta velocidade.	instáveis	frágeis	variáveis	voláteis	colossais
30	Lúpus pode ser uma __________ difícil de ser tratada.	bebida	doença	cepa	linhagem	espécie
31	Embora muitos pacientes atingidos pela condição autoimune tenham vida relativamente normal, alguns sofrem de __________ renal, coágulos sanguíneos e outras complicações que podem ser fatais.	espasmo	dor	cólica	insuficiência	algia
32	Cientistas agora descobriram que um tratamento que elimina as células B do sistema __________ livrou camundongos destes quadros.	renal	cardiovascular	sanguíneo	imunológico	linfático
33	Produtos naturais são __________ fontes para o desenvolvimento de novos medicamentos.	custosas	importantes	exorbitantes	dispendiosas	caras
34	O corante índigo, extraído de plantas conhecidas popularmente como anileiras, embora seja mais conhecido por dar a coloração azul ao __________, também apresenta propriedades anti-inflamatórias e analgésicas.	lápis	jeans	alimento	bolo	açaí
35	Por trás da visão existem alguns conceitos físicos importantes e a __________ da luz é um deles.	rotina	fisiologia	refração	crença	capacidade
36	A luz se refrata, ou seja, sofre um desvio em seu __________ ao passar de um meio para outro.	modo	olho	lugar	estado	caminho
37	Por exemplo, quando a luz passa do ar para água percebemos uma mudança na __________.	estrutura	intensidade	cor	direção	velocidade
39	O Centro de Controle e Prevenção de Doenças estima que 34.3 milhões de adultos nos Estados Unidos sejam hoje fumantes, enquanto mais de 16 milhões sofrem de alguma doença relacionada ao __________.	corona	exercício	sistema	consumo	cigarro
40	Muitos dos casos são de doenças que __________ o sistema cardiovascular.	impedem	induzem	arremetem	afetam	eliminam
41	A chuva ácida é composta por diferentes ácidos, por exemplo os Ácidos Nítrico, Sulfúrico e __________.	carbônico	cítrico	nitroso	ferroso	clorídrico
42	A formação destes ocorre quando seus óxidos correspondentes, principalmente os óxidos de Nitrogênio e Enxofre, entram em contado com a __________ presente nas nuvens.	camada	poluição	atmosfera	formação	água
43	Braços galácticos são compostos por estrelas, gases e nuvens de poeira, que __________ a visão que poderíamos ter do centro da galáxia.	despontam	sugerem	obstruem	despertam	formam
44	Esses componentes emitem diferentes tipos de radiação que, ao serem captados e interpretados, __________ informações acerca de suas posições e velocidades.	bloqueiam	confundem	oferecem	dificultam	obscurecem
45	Tais __________ são chamados traçadores.	objetos	sócios	ingredientes	parceiros	temperamentos
46	Uma velha suspeita agora foi confirmada: Luzia e as enormes preguiças terrícolas, os "elefantes" sul-americanos, foram __________ e dividiram o mesmo pedaço de terra.	perdidos	extintos	contemporâneos	aniquilados	dissipados
47	O nome de mulher é uma referência ao fragmento de esqueleto humano mais antigo encontrado na América, o __________ de uma jovem que viveu há 11 mil anos.	crânio	esqueleto	nome	fragmento	pedaço
48	O cupuaçu, uma árvore da mesma família do cacau, cuja semente é fonte de alimento na Amazônia, está no centro de uma polêmica envolvendo organizações __________ (ONGs), produtores do Acre, a Empresa Brasileira de Pesquisa Agropecuária (Embrapa), o Itamaraty e a gigante japonesa Asahi Foods Co Ltd.	estrangeiras	nacionais	não-governamentais	ambientais	indígenas
49	Hoje, o sertão do Nordeste é marcado pelos mandacarus, pelas secas freqüentes e pelo __________ intenso, mas nem sempre foi assim.	povoamento	clima	povo	público	calor
50	Há cerca de 300 milhões de anos, quando América do Sul, África, sudoeste da Ásia, Austrália e Antártica formavam um único supercontinente situado próximo ao Pólo Sul, uma vasta porção do que hoje é o Nordeste brasileiro era coberta por __________.	vulcões	geleiras	florestas	vegetação	grama
51	Arqueólogos da Grécia descobriram o que acreditam ser o fragmento mais antigo conhecido da Odisseia, poema __________ de Homero.	antigo	ancestral	imemorial	épico	arcaico
52	Uma equipe de pesquisadores gregos e alemães encontrou o trecho em uma placa de argila entalhada na Antiga Olímpia, berço dos __________ Olímpicos localizado na península do Peloponeso, informou o ministro da Cultura grego nesta terça-feira.	escritores	deuses	filósofos	jogos	poetas
53	Quem diria que, um dia, alguma pessoa no mundo se contaminaria ao beber Coca-Cola, o __________ mais famoso e vendido do planeta?	refrigerante	pesquisador	romance	escândalo	caso
54	Pois é, pelo menos 249 pessoas relataram distúrbios físicos como dor de estômago, tontura e náuseas, na Bélgica, após ingerirem o célebre líquido escuro que tem em sua __________ a marca mais cara do mundo: Coca-Cola.	embalagem	fórmula	receita	composição	geladeira
55	A equipe de "químicos verdes" de uma universidade na África do Sul e colegas de universidades na Alemanha, Malawi e Tanzânia descobriu uma __________ ecologicamente correta de produzir filtros solares usando cascas de castanha de caju, em vez de descartá-los como resíduos.	fonte	planta	doença	maneira	cura
56	Quando pequena, dona Maria queria estudar, mas o __________ sempre achou que estudo era coisa de homem.	destino	pai	tempo	governo	acaso
57	Mulher tinha que se __________ bem na cozinha, dizia ele.	preservar	dar	casar	manter	submeter
58	Sem saber ler e escrever, a menina cresceu, casou, cruzou o __________, virou mãe, se separou e tornou-se avó.	atalho	trajeto	caminho	trilho	país
59	Você já imaginou a sua __________ sem ouvir nenhuma palavra?	vida	importância	ancestralidade	herança	casa
60	Vinte milhões de brasileiros têm alguma __________ para ouvir.	força	dificuldade	qualidade	capacidade	competência
61	Quanto mais cedo o problema for descoberto, maiores são as __________ de cura.	diferenças	desgraças	desvantagens	perdas	chances
62	Para isso, o __________ da orelhinha é fundamental.	terapeuta	teste	médico	clínico	doutor
63	Em 1984 havia um computador para cada 125 __________ americanos.	estudantes	habitantes	operários	cidadãos	indivíduos
64	Hoje a __________ é de 14 alunos por um.	média	quantia	relação	parte	quantidade
65	A ideia de ter apenas um "laboratório" de informática, uma sala onde as crianças podiam __________ o computador, já está ficando para trás.	ambiente	computador	planeta	universo	mundo
66	O objetivo agora é ter também pelo menos um terminal por __________, com as salas interligadas numa central.	classe	estudante	aluno	escola	pessoa
67	A relação entre cão e dono é uma das mais fortes, calcada principalmente no __________ e companheirismo.	cão	berço	amor	perfil	meio
68	Além de tornar a vida das pessoas mais feliz, ter um pet também pode ser benéfico em outros âmbitos, como a __________.	depressão	saúde	doença	mania	enfermidade
69	Esse convívio acaba sendo crucial para o __________ de alguns problemas, como é o caso do autismo.	avanço	crescimento	tratamento	comportamento	desenvolvimento
70	É verdade que as ondas de petróleo que, em julho, ameaçaram contaminar o arquipélago de Galápagos se __________ antes de atingir suas praias.	intensificaram	dispersaram	originaram	iniciaram	reforçaram
71	Mas o perigo que rondou as ilhas que inspiraram Charles Darwin a escrever sua __________ da evolução ainda preocupa.	teoria	coletânea	biografia	realidade	compilação
72	Dois vulcões na Amazônia podem abrigar vastas reservas de minerais __________.	preciosos	específicos	naturais	típicos	vulcânicos
73	No sul do Pará, entre os rios Tapajós e Jamanxim, dois morros discretos escondem dois dos mais antigos __________ do mundo, formados há quase 1,9 __________ de anos, quando a Terra tinha pouco mais da metade da idade atual.	lugares	pontos	campos	vales	vulcões
74	Está aberta em Brasília a temporada dos ipês amarelos, que são a __________ da resiliência.	origem	fonte	cor	causa	imagem
75	Eles florescem na seca, depois que a árvore fica sem __________ e parece morta.	galhos	nutrientes	frutos	folhas	seiva
77	As flores do ipê amarelo atraem as abelhas -- os grandes polinizadores da __________ -- que estão ameaçadas pelos agrotóxicos, entre outros.	flor	região	planta	floresta	natureza
79	Um homem que ficou na prisão por 8 anos concluiu o segundo grau no sistema __________, fez o Enem, Exame Nacional de Ensino Médio no ano passado, acaba de ser aprovado no Sisu.	prisional	educacional	educativo	pedagógico	didático
80	Ele vai ingressar em um __________ superior da Universidade Federal do Espírito Santo.	curso	centro	instituto	sistema	colégio
81	No começo da década de 60, um crítico observava que no Brasil se faziam filmes que, embora tendo público numeroso e entusiasta, não eram considerados propriamente cinema pelos seus produtores e __________.	espectadores	atores	diretores	cineastas	roteiristas
82	Cinema de verdade era o que nos vinha dos Estados Unidos ou talvez da Europa, muito diferente das nossas __________.	chanchadas	produções	obras	vidas	histórias
83	Você sabia que as garrafas de plástico de refrigerante demoram 120 anos para se decompor na __________?	superfície	natureza	terra	atmosfera	luz
84	Dá para imaginar o estrago no meio ambiente se você ou seus alunos __________ esses vasilhames na rua.	jogarem	protegerem	guardarem	preservarem	conservarem
85	A reciclagem do material -- que aliás nada tem de lixo -- é a única solução para esse __________.	gasto	estrago	prejuízo	desastre	problema
86	O Twitter dissolveu nesta semana seu time dedicado para transmissões ao vivo de vídeos, unindo a equipe antes responsável por esse aspecto a seu time de parcerias e conteúdo __________.	digital	popular	direcionado	privado	exclusivo
87	A ideia é reduzir o foco nesse tipo de conteúdo, numa mudança de __________.	comportamento	ares	times	conteúdo	estratégia
88	Aparentemente, uma planta não tem como se __________ quando sofre o ataque de um inseto.	desenvolver	locomover	defender	multiplicar	reproduzir
89	No entanto, uma mordida numa folha aciona a produção de uma série de substâncias capazes de bloquear a ação das enzimas digestivas do inseto, que mais tarde pode até morrer de __________.	inanição	fraqueza	infecção	dor	indigestão
90	A operação de resgate dos 12 meninos e seu treinador de futebol que ficaram presos em uma rede de cavernas na Tailândia é muito complexa e __________.	impraticável	aterrorizante	perigosa	intratável	inacessível
91	O grupo está a mais de 800 __________ abaixo do solo.	séculos	semanas	metros	dias	quilômetros
92	A rota de saída tem quatro quilômetros e vários __________ submersos.	problemas	trechos	obstáculos	perigos	riscos
93	Cleópatra, uma das mulheres mais conhecidas da história da __________, ganhou fama por ser ardilosa e sedutora.	humanidade	realeza	região	época	vida
94	Agora foi descoberto e recriado o __________ que ela usava.	quarto	perfume	retrato	rosto	cenário
95	A rainha do Egito usava uma fragrância à base de mirra e uma mistura espessa e __________ de cardamomo, azeite de oliva e canela.	densa	cremosa	grossa	pastosa	pegajosa
96	Hamlet observa a Horácio que há mais coisas no céu e na terra do que sonha a nossa __________.	filosofia	senhora	humanidade	imaginação	mente
97	Era a mesma explicação que dava a bela Rita ao moço Camilo, numa sexta-feira de novembro de 1869, quando este ria dela, por ter ido na véspera consultar uma __________; a diferença é que o fazia por outras palavras.	médica	bruxa	amiga	cartomante	dúvida
98	Minha casa era um ponto de __________ de alguns rapazes conversados e algumas moças elegantes.	descanso	comércio	paz	conforto	reunião
99	Eu, rainha eleita pelo __________ universal... de minha casa, presidia aos serões familiares.	voto	congresso	conselho	grupo	baile
100	Fora de casa, tínhamos os teatros animados, as partidas das amigas, mil outras __________ que davam à minha vida certas alegrias exteriores em falta das íntimas, que são as únicas verdadeiras e fecundas.	qualidades	maravilhas	vezes	distrações	maneiras
101	Nascera em Paquetá, onde se criou à larga com leite de jumenta, e onde residiu até à ocasião de perder o pai, um afamado e rico mestre de obras, português, antigo, econômico e ríspido, que, ao morrer, lhe __________ uma dúzia de prédios bem edificados, alguns terrenos, que mais tarde valeriam muito, e o inestimável hábito de ganhar a vida.	faltou	presenteou	ofereceu	restou	legou
102	O sítio era solitário; a estrada rompia pelo meio vasta floresta que cortava sinuosa, e, descendo declive suave, ia atravessar tênue corrente d’água alimentada por brejal vizinho e de novo se perdia, como embebendo-se no seio do __________.	bosque	mundo	universo	mar	rio
103	De acordo com a sua paixão dominante, Quaresma estivera muito tempo a meditar qual seria a expressão poético-musical característica da __________ nacional.	época	escola	mulher	alma	academia
104	Consultou historiadores, cronistas e filósofos e adquiriu certeza que era a modinha acompanhada pelo __________.	mundo	filho	poeta	berimbau	violão
107	Quis a __________ que os não encontrasse.	notícia	vivência	vida	profissão	fatalidade
108	Nisso gastou a noite e o dia __________.	honrado	perfeito	seguinte	pleno	completo
109	Enfim, resolveu-se a ir procurar Francisca e aparecer-lhe como a felicidade tão longamente esperada e __________ realizada e viva.	consequentemente	portanto	pois	antigamente	agora
110	De repente olhei por __________ o espelho que estava em cima da chaminé.	dinheiro	alto	gente	cima	acaso
111	Que é isso, um sonho ou um __________ real?	quadro	devaneio	delírio	reflexo	tormento
113	Montava seu Rocinante e me fazia amavelmente um sinal com a __________.	pata	vaidade	fumaça	presunção	cabeça
115	O Tenente de Cavalaria Remígio Soares, teve a infelicidade ver, uma noite, D. Andréia num camarote do teatro Lucinda, ao lado do seu legítimo esposo, e pecou, infringindo impiamente o nono mandamento da __________ de Deus.	cavalaria	castidade	lei	virtude	igreja
116	Rubião suspirou, cruzou as pernas, e __________ com as borlas do chambre sobre os joelhos.	saiu	pensou	advertiu	bateu	disse
117	Sentia que não era inteiramente feliz; mas sentia também que não estava longe a __________ completa.	felicidade	época	família	casa	temporada
118	Recompunha de cabeça uns modos, uns olhos, uns requebros sem explicação, a não ser esta, que ela o amava, e que o __________ muito.	enfeitiçava	odiava	renunciava	amava	seduzia
119	Como se dirigisse em silêncio para as margens do Nilo, avistou de longe, junto a um bosque banhado pelo __________, uma velha coberta de farrapos, sentada sobre um cômoro.	horizonte	sol	luar	calor	rio
121	A frente dela estava uma serpente que não era como as __________ ordinárias, pois seus olhos eram tão ternos como animados.	serpentes	caras	pessoas	criaturas	personagens
